PM10,PM2.5,PM1,NO2,date,time
18.54,13.66,12.32,20.28,2022-12-11,19:30:00
18.54,13.66,12.32,20.28,2022-12-11,19:30:00
19.22,14.19,12.79,22.07,2022-12-11,19:40:00
21.63,16.03,14.45,20.57,2022-12-11,19:50:00
22.91,17.01,15.33,21.05,2022-12-11,20:00:00
23.65,17.57,15.84,20.01,2022-12-11,20:10:00
22.92,17.01,15.34,19.95,2022-12-11,20:20:00
22.62,16.79,15.14,19.72,2022-12-11,20:30:00
22.6,16.77,15.12,20.17,2022-12-11,20:40:00
19.5,14.4,12.98,21.13,2022-12-11,23:10:00
19.38,14.31,12.9,20.13,2022-12-11,23:20:00
20.58,15.22,13.72,20.88,2022-12-11,23:30:00
20.58,15.22,13.72,20.88,2022-12-11,23:30:00
20.58,15.22,13.72,20.88,2022-12-11,23:30:00
18.98,14,12.62,19.32,2022-12-11,23:40:00
18.98,14,12.62,19.32,2022-12-11,23:40:00
18.98,14,12.62,19.32,2022-12-11,23:40:00
18.98,14,12.62,19.32,2022-12-11,23:40:00
18.98,14,12.62,19.32,2022-12-11,23:40:00
18.98,14,12.62,19.32,2022-12-11,23:40:00
